,0,1,2,3,4
LogisticRegression (ERM),0.245,0.234375,0.2638888888888889,0.17857142857142858,0.29310344827586204
LogisticRegression (G-ERM),0.245,0.2578125,0.2777777777777778,0.17857142857142858,0.29310344827586204
LogisticRegression (PREP),0.245,0.234375,0.2638888888888889,0.17857142857142858,0.29310344827586204
SVMClassifier (ERM),0.255,0.2421875,0.2777777777777778,0.19047619047619047,0.3017241379310345
SVMClassifier (G-ERM),0.255,0.2734375,0.3055555555555556,0.20238095238095238,0.29310344827586204
SVMClassifier (PREP),0.25,0.25,0.25,0.19047619047619047,0.29310344827586204
DecisionTree2 (ERM),0.295,0.28125,0.3194444444444444,0.2261904761904762,0.3448275862068966
DecisionTree2 (G-ERM),0.295,0.2578125,0.3888888888888889,0.21428571428571427,0.3620689655172414
DecisionTree2 (PREP),0.28,0.2578125,0.3194444444444444,0.20238095238095238,0.33620689655172414
DecisionTree4 (ERM),0.27,0.25,0.3055555555555556,0.19047619047619047,0.3275862068965517
DecisionTree4 (G-ERM),0.27,0.28125,0.4027777777777778,0.23809523809523808,0.3793103448275862
DecisionTree4 (PREP),0.27,0.25,0.3055555555555556,0.19047619047619047,0.3275862068965517
DecisionTree8 (ERM),0.235,0.21875,0.2638888888888889,0.15476190476190477,0.29310344827586204
DecisionTree8 (G-ERM),0.235,0.3125,0.3611111111111111,0.11904761904761904,0.33620689655172414
DecisionTree8 (PREP),0.22,0.203125,0.25,0.11904761904761904,0.29310344827586204
DecisionTree16 (ERM),0.26,0.234375,0.3055555555555556,0.2261904761904762,0.28448275862068967
DecisionTree16 (G-ERM),0.26,0.359375,0.4027777777777778,0.2261904761904762,0.35344827586206895
DecisionTree16 (PREP),0.26,0.234375,0.3055555555555556,0.2261904761904762,0.28448275862068967
DecisionTree (ERM),0.235,0.2265625,0.25,0.20238095238095238,0.25862068965517243
DecisionTree (G-ERM),0.235,0.3359375,0.375,0.2261904761904762,0.35344827586206895
DecisionTree (PREP),0.235,0.2265625,0.25,0.20238095238095238,0.25862068965517243
RandomForest2 (ERM),0.295,0.28125,0.3194444444444444,0.2261904761904762,0.3448275862068966
RandomForest2 (G-ERM),0.295,0.2578125,0.3888888888888889,0.21428571428571427,0.3620689655172414
RandomForest2 (PREP),0.28,0.2578125,0.3194444444444444,0.20238095238095238,0.33620689655172414
RandomForest4 (ERM),0.27,0.25,0.3055555555555556,0.19047619047619047,0.3275862068965517
RandomForest4 (G-ERM),0.27,0.2734375,0.4027777777777778,0.23809523809523808,0.3879310344827586
RandomForest4 (PREP),0.27,0.25,0.3055555555555556,0.19047619047619047,0.3275862068965517
RandomForest8 (ERM),0.245,0.234375,0.2638888888888889,0.15476190476190477,0.3103448275862069
RandomForest8 (G-ERM),0.245,0.3203125,0.3472222222222222,0.13095238095238096,0.3879310344827586
RandomForest8 (PREP),0.235,0.21875,0.2638888888888889,0.13095238095238096,0.3103448275862069
RandomForest16 (ERM),0.25,0.21875,0.3055555555555556,0.19047619047619047,0.29310344827586204
RandomForest16 (G-ERM),0.25,0.3203125,0.3888888888888889,0.23809523809523808,0.39655172413793105
RandomForest16 (PREP),0.25,0.21875,0.3055555555555556,0.19047619047619047,0.29310344827586204
RandomForest (ERM),0.25,0.2265625,0.2916666666666667,0.17857142857142858,0.3017241379310345
RandomForest (G-ERM),0.25,0.2421875,0.2916666666666667,0.20238095238095238,0.25862068965517243
RandomForest (PREP),0.225,0.1875,0.2916666666666667,0.17857142857142858,0.25862068965517243
XGBoost (ERM),0.25,0.2265625,0.2916666666666667,0.21428571428571427,0.27586206896551724
XGBoost (G-ERM),0.25,0.3203125,0.2916666666666667,0.27380952380952384,0.29310344827586204
XGBoost (PREP),0.25,0.2265625,0.2916666666666667,0.21428571428571427,0.27586206896551724
MLP (ERM),0.29,0.2578125,0.3472222222222222,0.20238095238095238,0.35344827586206895
MLP (G-ERM),0.29,0.2578125,0.3472222222222222,0.20238095238095238,0.35344827586206895
MLP (PREP),0.29,0.2578125,0.3472222222222222,0.20238095238095238,0.35344827586206895
LogisticRegression (ERM) err,0.055431455255634254,0.06612937889229598,0.08944651739184445,0.06834082007169623,0.07649423306954142
LogisticRegression (G-ERM) err,0.055431455255634254,0.06916066450235117,0.09172362095805495,0.06834082007169623,0.07649423306954142
LogisticRegression (PREP) err,0.055431455255634254,0.06612937889229598,0.08944651739184445,0.06834082007169623,0.07649423306954142
SVMClassifier (ERM) err,0.05641762416845375,0.06717171551071649,0.09172362095805495,0.07082365874042588,0.0774537029609271
SVMClassifier (G-ERM) err,0.05641762416845375,0.07102812394954089,0.09593905061617139,0.07319218890937601,0.07649423306954142
SVMClassifier (PREP) err,0.05592977277446498,0.06818181818181818,0.08704964612978827,0.07082365874042588,0.07649423306954142
DecisionTree2 (ERM) err,0.0599655343672478,0.07191833845957471,0.0978860632751049,0.07761372593884061,0.08176130385642433
DecisionTree2 (G-ERM) err,0.0599655343672478,0.06916066450235117,0.10614454972050036,0.07545349657062489,0.08326757363765974
DecisionTree2 (PREP) err,0.058706504627404704,0.06916066450235117,0.0978860632751049,0.07319218890937601,0.0809628526860392
DecisionTree4 (ERM) err,0.057820318922558206,0.06818181818181818,0.09593905061617139,0.07082365874042588,0.08013348212652016
DecisionTree4 (G-ERM) err,0.057820318922558206,0.07191833845957471,0.107517830746166,0.07967823808675337,0.08465612219304991
DecisionTree4 (PREP) err,0.057820318922558206,0.06818181818181818,0.09593905061617139,0.07082365874042588,0.08013348212652016
DecisionTree8 (ERM) err,0.05440257282068997,0.0639436608701098,0.08944651739184445,0.06299787940706121,0.07649423306954142
DecisionTree8 (G-ERM) err,0.05440257282068997,0.07520513827296449,0.10312583314632312,0.053866162997425734,0.0809628526860392
DecisionTree8 (PREP) err,0.05277512924746519,0.06161496925116383,0.08704964612978827,0.053866162997425734,0.07649423306954142
DecisionTree16 (ERM) err,0.05689520812707846,0.06612937889229598,0.09593905061617139,0.07761372593884061,0.0755003457376473
DecisionTree16 (G-ERM) err,0.05689520812707846,0.07937273547658946,0.107517830746166,0.07761372593884061,0.08252937797794624
DecisionTree16 (PREP) err,0.05689520812707846,0.06612937889229598,0.09593905061617139,0.07761372593884061,0.0755003457376473
DecisionTree (ERM) err,0.05440257282068997,0.06505374612088347,0.08704964612978827,0.07319218890937601,0.07230287921756487
DecisionTree (G-ERM) err,0.05440257282068997,0.07739844404538876,0.10468114819268265,0.07761372593884061,0.08252937797794624
DecisionTree (PREP) err,0.05440257282068997,0.06505374612088347,0.08704964612978827,0.07319218890937601,0.07230287921756487
RandomForest2 (ERM) err,0.0599655343672478,0.07191833845957471,0.0978860632751049,0.07761372593884061,0.08176130385642433
RandomForest2 (G-ERM) err,0.0599655343672478,0.06916066450235117,0.10614454972050036,0.07545349657062489,0.08326757363765974
RandomForest2 (PREP) err,0.058706504627404704,0.06916066450235117,0.0978860632751049,0.07319218890937601,0.0809628526860392
RandomForest4 (ERM) err,0.057820318922558206,0.06818181818181818,0.09593905061617139,0.07082365874042588,0.08013348212652016
RandomForest4 (G-ERM) err,0.057820318922558206,0.07102812394954089,0.107517830746166,0.07967823808675337,0.08530727795914206
RandomForest4 (PREP) err,0.057820318922558206,0.06818181818181818,0.09593905061617139,0.07082365874042588,0.08013348212652016
RandomForest8 (ERM) err,0.055431455255634254,0.06612937889229598,0.08944651739184445,0.06299787940706121,0.07837957473250862
RandomForest8 (G-ERM) err,0.055431455255634254,0.0759612776527934,0.10147652914488689,0.05707833759519332,0.08530727795914206
RandomForest8 (PREP) err,0.05440257282068997,0.0639436608701098,0.08944651739184445,0.05707833759519332,0.07837957473250862
RandomForest16 (ERM) err,0.05592977277446498,0.0639436608701098,0.09593905061617139,0.07082365874042588,0.07649423306954142
RandomForest16 (G-ERM) err,0.05592977277446498,0.0759612776527934,0.10614454972050036,0.07967823808675337,0.08593016531434922
RandomForest16 (PREP) err,0.05592977277446498,0.0639436608701098,0.09593905061617139,0.07082365874042588,0.07649423306954142
RandomForest (ERM) err,0.05592977277446498,0.06505374612088347,0.09388625515685894,0.06834082007169623,0.0774537029609271
RandomForest (G-ERM) err,0.05592977277446498,0.06717171551071649,0.09388625515685894,0.07319218890937601,0.07230287921756487
RandomForest (PREP) err,0.05332915956230852,0.059131705591950134,0.09388625515685894,0.06834082007169623,0.07230287921756487
XGBoost (ERM) err,0.05592977277446498,0.06505374612088347,0.09388625515685894,0.07545349657062489,0.07447115069894392
XGBoost (G-ERM) err,0.05592977277446498,0.0759612776527934,0.09388625515685894,0.08534179085414348,0.07649423306954142
XGBoost (PREP) err,0.05592977277446498,0.06505374612088347,0.09388625515685894,0.07545349657062489,0.07447115069894392
MLP (ERM) err,0.059555030906390305,0.06916066450235117,0.10147652914488689,0.07319218890937601,0.08252937797794624
MLP (G-ERM) err,0.059555030906390305,0.06916066450235117,0.10147652914488689,0.07319218890937601,0.08252937797794624
MLP (PREP) err,0.059555030906390305,0.06916066450235117,0.10147652914488689,0.07319218890937601,0.08252937797794624
